id,name,level,description,knowledge,addInfo
1364,"Weasel",Creature -1,"Despite their small stature, weasels are skilled hunters. Nearly fearless in pursuit of food, they frequently kill creatures up to five times their own size. Their preferred tactic is to latch onto the back of their victim's neck and constrict with their jaws until the target dies. To keep themselves well fed, weasels kill more creatures than they need and stuff their victims into hollow logs or empty dens to eat later. Scholars have observed weasels, both in the wild and captivity, perform a bizarre behavior in front of their prey. They rush about unpredictably, throw themselves to the ground, wriggle into and out of burrows, and generally appear to behave entirely irrationally. In response, their prey becomes confused or seemingly hypnotized, which gives the weasel an opportunity to dash forward and strike a killing blow. A typical weasel is 12 inches long and weighs less than a pound.","Animal  ( Nature ) : DC 13 Unspecific Lore : DC 11 Specific Lore : DC 8 ","Weasels are lithe, clever predators known for both their beautiful, sleek fur and their ability to crawl into tight spaces. Pound for pound, few animals are as voracious as weasels. Insatiably hungry, they eat almost half their own weight each day, leading them to constantly hunt for new prey to satisfy their hunger.  Weasel MuskWeasels have a particularly strong musk that they use to mark their territories. This primarily discourages other weasels from competing for prey, but it can also be used to discourage predators. It's certainly effective against trappers and fur traders, who find the smell nearly impossible to remove from the pelts, and thus trappers favor the closely related stoat (also known as an ermine), which has similarly soft fur but less pungent defenses."
1614,"Silverfish Swarm",Creature -1,"It's uncommon for silverfish to congregate in sufficient numbers to constitute a swarm, but forgotten libraries or similar out-of-the-way places might harbor a multitude of the voracious pests.","Animal  ( Nature ) : DC 15 Unspecific Lore : DC 13 Specific Lore : DC 10 ","A common pest with a silvery carapace and an undulating, fishlike scuttle, the nocturnal silverfish infests homes and libraries throughout Golarion. These insects aren't typically dangerous, but their tendency to devour books and clothing often puts them at odds with larger creatures. Silverfish MoltsIn an interesting twist to the pest's life cycle, some spellcasters incorporate giant silverfish moltings into their spellbooks and scrolls. These shed skins have the consistency of onionskin and are valuable due to the superstition that they contain residual magic from texts the silverfish consumed. Regardless of whether a silverfish molt has any intrinsic magical power, many tenured mages feel that proof of a book-devouring vermin's demise is worthy of a reward. Thus, such a trophy is guaranteed to fetch a tidy sum from the right buyer."
1676,"Khefak Scuttler",Creature -1,"These small creatures are ubiquitous vermin found across much of Akiton.","Animal  ( Nature ) : DC 15 Unspecific Lore : DC 13 Specific Lore : DC 10 ","This unusual arthropod resembles an amalgam of a centipede and a crab. Hard-shelled and perfectly suited to life on Akiton, khefaks are so incredibly useful that a visitor to the planet might assume they were custom engineered for their environs. Such visitors would, in fact, be correct. While khefaks can be found naturally on Akiton, a new species has recently gained a foothold on the planet: alchemically engineered khefaks who excrete a refined substance that can be used as fuel to power advanced engines and devices."
1764,"Animated Blades",Creature -1,"This creature did not include a description.","Construct  ( Arcana ,  Crafting ) : DC 15 Unspecific Lore : DC 13 Specific Lore : DC 10 ",
1771,"Beaver",Creature -1,"A typical beaver can grow up to 4 feet long and weigh up to 65 pounds.","Animal  ( Nature ) : DC 13 Unspecific Lore : DC 11 Specific Lore : DC 8 ","Beavers are stocky, herbivorous rodents that live in freshwater ecosystems throughout Avistan. They live in lodges, which they construct from logs, grass, rocks, and mud. Nature's EngineersBeavers change their environments in ways few other animals can: felling trees, altering riverbanks, and building homes and dams that change the surrounding landscape. They widen rivers and streams, flood tributaries to create ponds and small lakes, and create and maintain wetlands. These industrious animal engineers regularly maintain and repair their constructions."
2701,"Ether Sprite",Creature -1,"The excitable sprites of the Ether Court prefer to frolic, drink, insult each other, and perform improv comedy.","Fey  ( Nature ) : DC 13 Unspecific Lore : DC 11 Specific Lore : DC 8 ","Elusive, flighty, and ebullient, sprites are what many villagers first imagine when they hear the terms “fey” or “fairy.” While their dispositions vary from the benevolent grig to the trickster pixie, all sprites share a connection to magic and diminutive size. This family of fey shares its name with its slightest and most populous member, the common sprite. Sprite PranksSprite pranks tend to be kind‑hearted in nature; they might use their abilities to embarrass a braggart or to trick them into a convoluted scheme to help someone notice an admirer who has been there for them all along. Their plans are often half-baked; sprites’ mercurial nature means they can easily become distracted by something new before following through on a previous plan."
2730,"Phantom Raven",Creature -1,"This creature did not include a description.","Ethereal  ( Occultism ) : DC 18 Spirit  ( Occultism ) : DC 18 Unspecific Lore : DC 16 Specific Lore : DC 13 ","Variant phantom"
2750,"Phantasmal Minion",Creature -1,"This creature did not include a description",,
2852,"Flash Beetle",Creature -1,"These 3-foot-long insects boast a pair of glowing organs on the back of the abdomen that give off bright light and that continue to glow for days, even after the creature's death. Flash beetles are commonly herded and harvested by miners and spelunkers, as their glow is considered safer than torches and less expensive than lamps. Denizens of the Darklands often domesticate and train these insects, using them as pets, livestock, or caging them to use as organic sources of light in areas frequented by visitors unaccustomed to the darkness.","Animal  ( Nature ) : DC 13 Unspecific Lore : DC 11 Specific Lore : DC 8 ","Not all beetles are harmless creatures that can be easily crushed underfoot. Oversized and ravenous giant beetles can be found throughout the temperate and tropical regions of the world. They are often benign creatures, though when threatened or roused, giant beetles are quite dangerous. Their powerful mandibles and tough exoskeletons make for a challenging combatant."
2875,"Giant Centipede",Creature -1,"Most giant centipedes (known as sewer centipedes when found in cities) nest in small groups but hunt alone when they seek out food. Attempts to domesticate giant centipedes for use as guardians or pets generally end poorly, but some communities of goblins, kobolds, and mitflits have developed effective methods of utilizing these vermin as guardians. Other groups roast and eat centipedes, often with pungent peppers as a savory delicacy, although care must be taken in preparing the meal to avoid tainting the flesh with the creature's venom.","Animal  ( Nature ) : DC 13 Unspecific Lore : DC 11 Specific Lore : DC 8 ","Hunters and scavengers that live amid dung and detritus, centipedes are a relatively common and often reviled threat faced by adventurers. Scurrying about with surprising speed on the scores of legs attached to their long, segmented bodies, centipedes strike with poisoned mandibles to slow and torment their prey with a vicious toxin before they settle down to feed in slow and disgusting leisure. Centipede SpeciesCentipedes take nearly countless forms amid nearly every climate, with specific traits and abilities varying wildly between species. Tangled forests, arid deserts, foul sewers, deep caverns, and abandoned buildings are all common haunts for centipedes, from oversized specimens capable of taking down significant prey alone to carpets of frenzied vermin gathered into a dangerous swarm. Larger and more specialized centipedes than the two presented here exist, such as the sleek giant whiptail centipede or the immense titan centipede."
2885,"Crawling Hand",Creature -1,"A crawling hand formed from the appendage of a Medium creature is quick and agile, skittering in the shadows until it can strike its prey.","Undead  ( Religion ) : DC 13 Unspecific Lore : DC 11 Specific Lore : DC 8 ","Typically, crawling hands form when severed appendages are endowed with a crude sentience by necromantic energies that turn them into tireless killers. Yet, crawling hands can also arise spontaneously, usually when a creature loses an appendage in a place rife with necromantic energy or with a connection to the Void.  Crawling Hand OriginsA popular tale among necromancers tells of an ancient wizard who trafficked in evil magic. During a summoning ritual gone wrong, the wizard's hand became possessed and later strangled them while they slept. The hand dragged the corpse across the wizard's rooms to their workbench, propped up a knife in a vise, and severed itself from the rest of the body. According to the story, the hand went on to commit several more murders and disappeared into the sewers of a major metropolis, never to be seen again. Some necromancers believe that this original crawling hand still creeps through the shadows of that city, killing as it pleases."
2924,"Guard Dog",Creature -1,"The typical guard dog is loyal and beloved by many communities. Often adored as pets, they excel as protectors and trackers, and can be fearless when defending a beloved master or family member. The statistics presented below work well for numerous breeds of dog ranging from 20 to 50 pounds in weight. Wild dogs can also use these statistics, but their untamed nature makes them far more unpredictable. Feral canines are perhaps even more dangerous, for unlike their wild cousins, feral dogs often lack the instinctual fear of humanity that stops wild creatures from interacting with people.","Animal  ( Nature ) : DC 13 Unspecific Lore : DC 11 Specific Lore : DC 8 ","Dogs are trusted and loyal companions that serve as guardians, tracking animals, and pets. Their ability to detect prey or predators via scent and their predilection to accompany humanoids makes them ideal pets for most adventurers. There are hundreds of breeds of dogs in the world—from tiny lapdogs who shower their masters in affection to brawny hounds that stand nearly 4 feet high at the shoulder—and they can be found in nearly any place where people reside. Larger breeds might even be used as mounts for smaller adventurers, and some cultures use dogs as beasts of burden capable of pulling sleds loaded with supplies across the icy tundra. Regardless, many adventurers find value in having a dog.  RabiesMany societies adore dogs and value them for their loyalty as pets. For such pet owners, there's perhaps no affliction more horrible than rabies. While many animals can be stricken with this debilitating illness, the idea of a loyal family pet growing feral and violent makes it all the more feared. Rabies (disease) Saving Throw DC 17 Fortitude; Stage 1 sickened 1 (1 day); Stage 2 sickened 2 (1 day); Stage 3 confused (1 day); Stage 4 dead."
3044,"Halfling Street Watcher",Creature -1,"Halflings' keen sight makes them excellent street watchers. Though the job rarely calls for fighting, most street watchers cover themselves head to ankle in whatever armor and weapons they manage to get their hands on.","Humanoid  ( Society ) : DC 13 Unspecific Lore : DC 11 Specific Lore : DC 8 ","Despite their small stature, a halfling can prove to be a mighty foe if you find yourself on the wrong side of their frying pan. Kitchen WeaponryHalflings love objects that can serve multiple practical purposes, especially if their purpose includes eating. Few objects can be used for more activities than a frying pan, and many halflings relish telling others all the uses they have found for their pans if asked."
